Date,p_low_vol,p_med_vol,p_high_vol
2022-07-01,1.875601484917543e-18,0.0009942073482370876,0.9990057926530533
2022-07-05,3.547725962558456e-18,0.0023058659915323586,0.9976941340089842
2022-07-06,7.125676117702367e-18,0.005005934788607446,0.994994065210615
2022-07-07,9.667174686838829e-18,0.010703571683956057,0.9892964283154062
2022-07-08,7.014861809332454e-18,0.02570536926469997,0.9742946307362629
2022-07-11,1.784615752822428e-18,0.0703479543285455,0.9296520456726284
2022-07-12,1.1421225681354944e-16,0.29073550765235484,0.7092644923492355
2022-07-13,1.038503176923888e-13,0.7186019194057517,0.28139808059542315
2022-07-14,1.7808605828422076e-12,0.9048307629924343,0.09516923700937714
2022-07-15,5.4979186050871285e-12,0.9656627909261105,0.03433720906509656
2022-07-18,1.300261526892303e-10,0.9924961268618657,0.007503873007346678
2022-07-19,7.538835150398296e-11,0.9971454020878291,0.0028545978385084952
2022-07-20,1.8982964852744203e-08,0.9997062780513656,0.0002937029622342267
2022-07-21,6.487533544068094e-08,0.9999572567070814,4.2678421125467716e-05
2022-07-22,1.4169970472797728e-08,0.9999793490155333,2.063681672217028e-05
2022-07-25,8.824796062865219e-07,0.9999895746329934,9.542884691706972e-06
2022-07-26,7.938611209762829e-08,0.9999835817690772,1.6338848417160167e-05
2022-07-27,8.21124216336721e-08,0.9999602789352205,3.963894891279758e-05
2022-07-28,3.91737823571072e-06,0.9999832076309976,1.287499200712148e-05
2022-07-29,9.070746200645016e-06,0.9999797190413365,1.1210213450371937e-05
2022-08-01,1.7716597632542325e-05,0.9999754360066822,6.847393323255579e-06
2022-08-02,1.4996320955524053e-05,0.9999776452848304,7.358390963150105e-06
2022-08-03,7.114099910139612e-05,0.9999186014926855,1.0257507110525042e-05
2022-08-04,0.0002282063749150475,0.999765951811722,5.8418136313177065e-06
2022-08-05,0.0006061843510048009,0.9993882430246152,5.572626399928475e-06
2022-08-08,0.0017929265756693234,0.9982017156119355,5.3578112723074314e-06
2022-08-09,0.0034864032254550274,0.9965077215219198,5.8752550525770085e-06
2022-08-10,0.006397338004361989,0.9935867744984793,1.588749972321686e-05
2022-08-11,0.01778367040459747,0.9822106790404809,5.650554048924602e-06
2022-08-12,0.02628104578799402,0.9737078569252097,1.1097288071654825e-05
2022-08-15,0.03524449342892194,0.9647495964634891,5.910107706240733e-06
2022-08-16,0.036258770616731134,0.9637348284991742,6.400886220693939e-06
2022-08-17,0.026112644521185502,0.973880732639124,6.622836539773171e-06
2022-08-18,0.019968811167258366,0.9800241634644203,7.025366097147619e-06
2022-08-19,0.0010572816776524014,0.9989326935542266,1.0024769725693693e-05
2022-08-22,1.805556077181518e-06,0.9999806809911977,1.751345221475113e-05
2022-08-23,0.0003992345901001514,0.9995939896404806,6.775771320836656e-06
2022-08-24,0.0010059350273765404,0.9989845135308353,9.551443541781496e-06
2022-08-25,0.0006454848313608941,0.9993249932597543,2.9521911445577927e-05
