Date,GLD,IWM,QQQ,SPY,TLT
2008-02-01,89.3499984741211,56.774208068847656,39.26062774658203,99.9473876953125,55.49910354614258
2008-02-04,89.0999984741211,56.1330451965332,38.70945739746094,98.68708801269531,54.92795944213867
2008-02-05,87.68000030517578,54.6943359375,37.60718536376953,96.04483795166016,55.34752655029297
2008-02-06,88.94999694824219,53.967166900634766,36.866580963134766,95.27149963378906,55.17854309082031
2008-02-07,89.8499984741211,54.8194580078125,37.124916076660156,95.90159606933594,53.98964309692383
2008-02-08,91.0,54.47541427612305,37.54689025878906,95.28582763671875,54.60738754272461
2008-02-11,91.33000183105469,54.49886703491211,37.95162582397461,95.77271270751953,54.834678649902344
2008-02-12,89.33000183105469,54.92892074584961,37.736351013183594,96.66065216064453,54.508358001708984
2008-02-13,89.44000244140625,56.17213821411133,38.56308364868164,97.64881134033203,53.93138885498047
2008-02-14,89.70999908447266,54.87419891357422,37.86552047729492,96.78955078125,53.138763427734375
2008-02-15,89.1500015258789,54.631805419921875,37.736351013183594,96.7680892944336,53.54671859741211
2008-02-19,91.58000183105469,55.30422592163086,37.667457580566406,97.0401840209961,53.004737854003906
2008-02-20,93.23999786376953,55.33551025390625,37.839691162109375,97.32659149169922,53.371883392333984
2008-02-21,93.25,54.27995681762695,37.47801208496094,96.51741790771484,53.93717956542969
2008-02-22,93.38999938964844,54.27995681762695,37.61579132080078,97.11174774169922,53.628326416015625
2008-02-25,92.73999786376953,55.33551025390625,37.80524826049805,98.33625793457031,53.08049011230469
2008-02-26,93.70999908447266,55.8515625,37.95162582397461,99.07377624511719,53.09797668457031
2008-02-27,94.77999877929688,55.82813262939453,38.14109420776367,98.97351837158203,53.14462661743164
2008-02-28,95.98999786376953,54.98363494873047,37.994693756103516,98.00682067871094,54.088722229003906
2008-02-29,96.18000030517578,53.84208297729492,36.987144470214844,95.8228988647461,54.91632080078125
2008-03-03,97.23999786376953,53.32600784301758,36.746009826660156,95.59373474121094,54.774742126464844
2008-03-04,95.18000030517578,53.01326370239258,36.95269012451172,95.228515625,54.24245071411133
2008-03-05,97.72000122070312,53.52147674560547,37.13352966308594,95.83000183105469,53.593143463134766
2008-03-06,96.5,51.7387580871582,36.315425872802734,93.84656524658203,53.87974548339844
2008-03-07,96.08999633789062,51.574520111083984,36.22931671142578,92.87987518310547,53.94998550415039
2008-03-10,95.87000274658203,50.43296813964844,35.531761169433594,91.6553955078125,54.74546432495117
2008-03-11,95.98999786376953,52.62229537963867,36.88378143310547,94.94926452636719,54.27750015258789
2008-03-12,97.01000213623047,52.01242446899414,36.78044891357422,94.0613784790039,55.32456588745117
2008-03-13,98.33999633789062,53.05234909057617,37.06464767456055,94.2690200805664,54.89171600341797
2008-03-14,98.70999908447266,51.71529006958008,36.384315490722656,92.8082504272461,55.57029724121094
2008-03-17,99.16999816894531,50.87083435058594,35.72121047973633,91.87024688720703,55.99726104736328
2008-03-18,96.5,53.208717346191406,37.31437683105469,95.68678283691406,55.780853271484375
2008-03-19,93.04000091552734,51.879486083984375,36.39292907714844,93.316650390625,56.70506286621094
2008-03-20,89.91000366210938,52.76305389404297,37.13667678833008,95.04518127441406,56.84546661376953
2008-03-24,90.0999984741211,54.81499481201172,38.42085266113281,96.94488525390625,55.745750427246094
2008-03-25,92.7300033569336,54.9951057434082,38.63629150390625,97.0384521484375,55.97970199584961
2008-03-26,93.80000305175781,54.5408821105957,38.52425765991211,95.85108184814453,55.745750427246094
2008-03-27,93.45999908447266,54.03962326049805,37.6710319519043,95.54885864257812,55.35383224487305
